"Município","ibge","latitude","longitude","/Educação/Educação Superior Presencial/Cursos/ Total 2010 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2011 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2012 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2013 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2014 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2015 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2016 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2017 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2018 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2019 (-)","/Educação/Educação Superior Presencial/Cursos/ Total 2020 (-)"
"Barão de Cotegipe","4301701","-27.62079999999","-52.37980000000","...","...","...","...","...","...","...","...","...","...","..."
"Barão do Triunfo","4301750","-30.38909999999","-51.73839999999","...","...","...","...","...","...","...","...","...","...","..."
"Barra do Guarita","4301859","-27.19269999999","-53.71090000000","...","...","...","...","...","...","...","...","...","...","..."
"Barra do Quaraí","4301875","-30.2029","-57.54970000000","...","...","...","...","...","...","...","...","...","...","..."
"Barra do Ribeiro","4301909","-30.29390000000","-51.30140000000","...","...","...","...","...","...","...","...","...","...","..."
"Barra do Rio Azul","4301925","-27.4068","-52.4084","...","...","...","...","...","...","...","...","...","...","..."
"Barra Funda","4301958","-27.92050000000","-53.03909999999","...","...","...","...","...","...","...","...","...","...","..."
"Barracão","4301800","-27.6739","-51.45859999999","...","...","...","...","...","...","...","...","...","...","..."
"Barros Cassal","4302006","-29.0947","-52.58359999999","...","...","...","...","...","...","...","...","...","...","..."
"Benjamin Constant do Sul","4302055","-27.50860000000","-52.59949999999","...","...","...","...","...","...","...","...","...","...","..."
"Bento Gonçalves","4302105","-29.1662","-51.51650000000","44","53","56","57","62","62","69","73","79","83","84"
"Boa Vista das Missões","4302154","-27.66710000000","-53.31020000000","...","...","...","...","...","...","...","...","...","...","..."
"Boa Vista do Buricá","4302204","-27.6693","-54.10819999999","...","...","...","...","...","...","...","...","...","...","..."
"Boa Vista do Cadeado","4302220","-28.5716","-53.81380000000","...","...","...","...","...","...","...","...","...","...","..."
"Boa Vista do Incra","4302238","-28.80920000000","-53.3874","...","...","...","...","...","...","...","...","...","...","..."
"Boa Vista do Sul","4302253","-29.35439999999","-51.66870000000","...","...","...","...","...","...","...","...","...","...","..."
"Bom Jesus","4302303","-28.66969999999","-50.42949999999","...","...","...","...","...","...","...","...","...","...","..."
"Bom Princípio","4302352","-29.48560000000","-51.35479999999","...","...","...","...","...","...","...","...","...","...","..."
"Bom Progresso","4302378","-27.53989999999","-53.87160000000","...","...","...","...","...","...","...","...","...","...","..."
"Bom Retiro do Sul","4302402","-29.60859999999","-51.94639999999","...","...","...","...","...","...","...","...","...","...","..."
"Boqueirão do Leão","4302451","-29.30460000000","-52.42840000000","...","...","...","...","...","...","...","...","...","...","..."
"Bossoroca","4302501","-28.72909999999","-54.90350000000","...","...","...","...","...","...","...","...","...","...","..."
"Bozano","4302584","-28.36746000000","-53.77223999999","...","...","...","...","...","...","...","...","...","...","..."
"Braga","4302600","-27.6173","-53.74049999999","...","...","...","...","...","...","...","...","...","...","..."
"Brochier","4302659","-29.5501","-51.59449999999","...","...","...","...","...","...","...","...","...","...","..."
"Butiá","4302709","-30.11789999999","-51.96009999999","...","...","...","...","...","...","...","...","...","...","..."
"Caçapava do Sul","4302808","-30.51439999999","-53.48270000000","10","11","12","12","12","8","8","8","5","5","5"
"Cacequi","4302907","-29.88830000000","-54.82200000000","...","...","...","...","...","...","...","...","...","...","..."
"Cachoeira do Sul","4303004","-30.03300000000","-52.89280000000","16","16","17","16","24","23","23","21","20","18","18"
"Cachoeirinha","4303103","-29.94719999999","-51.10159999999","5","6","7","9","9","10","10","10","15","19","19"
"Cacique Doble","4303202","-27.76699999999","-51.65970000000","...","...","...","...","...","...","...","...","...","...","..."
"Caibaté","4303301","-28.29050000000","-54.64540000000","...","...","...","...","...","...","...","...","...","...","..."
"Caiçara","4303400","-27.2791","-53.42569999999","...","...","...","...","...","...","...","...","...","...","..."
"Camaquã","4303509","-30.8489","-51.80429999999","5","5","4","4","4","4","5","5","5","5","5"
"Camargo","4303558","-28.58800000000","-52.20029999999","...","...","...","...","...","...","...","...","...","...","..."
"Cambará do Sul","4303608","-29.0474","-50.14650000000","...","...","...","...","...","...","...","...","...","...","..."
"Campestre da Serra","4303673","-28.7926","-51.09409999999","...","...","...","...","...","...","...","...","...","...","..."
"Campina das Missões","4303707","-27.98880000000","-54.84170000000","...","...","...","...","...","...","...","...","...","...","..."
"Campinas do Sul","4303806","-27.71740000000","-52.6248","...","...","...","...","...","...","...","...","...","...","..."
"Campo Bom","4303905","-29.67470000000","-51.06060000000","...","...","...","...","...","...","...","...","1","2","2"
"Campo Novo","4304002","-27.67920000000","-53.80519999999","...","...","...","...","...","...","...","...","...","...","..."
"Campos Borges","4304101","-28.8871","-53.00079999999","...","...","...","...","...","...","...","...","...","...","..."
"Candelária","4304200","-29.66839999999","-52.78949999999","...","...","...","...","...","...","...","...","...","...","..."
"Cândido Godói","4304309","-27.95149999999","-54.7517","...","...","...","...","...","...","...","...","...","...","..."
"Candiota","4304358","-31.55150000000","-53.67730000000","...","...","...","...","...","...","...","...","...","...","..."
"Canela","4304408","-29.35600000000","-50.81190000000","9","11","11","11","12","12","12","12","11","9","7"
"Canguçu","4304507","-31.39600000000","-52.67819999999","...","...","...","...","...","...","...","...","...","...","..."
"Canoas","4304606","-29.91280000000","-51.18569999999","126","130","134","138","138","137","135","132","126","125","120"
"Canudos do Vale","4304614","-29.3187","-52.23449999999","...","...","...","...","...","...","...","...","...","...","..."
"Capão Bonito do Sul","4304622","-29.76419999999","-50.02819999999","...","...","...","...","...","...","...","...","...","...","..."
"Capão da Canoa","4304630","-29.63970000000","-49.95989999999","3","3","3","3","3","2","2","2","2","2","2"
"Capão do Cipó","4304655","-28.904","-54.70000000000","...","...","...","...","...","...","...","...","...","...","..."
"Capão do Leão","4304663","-31.75649999999","-52.48890000000","23","23","15","15","15","15","15","15","15","16","16"
"Capela de Santana","4304689","-29.69610000000","-51.32800000000","...","...","...","...","...","...","...","...","...","...","..."
"Capitão","4304697","-29.26739999999","-51.98530000000","...","...","...","...","...","...","...","...","...","...","..."
"Capivari do Sul","4304671","-30.13820000000","-50.51509999999","...","...","...","...","...","...","...","...","...","...","..."
"Caraá","4304713","-29.78689999999","-50.43160000000","...","...","...","...","...","...","...","...","...","...","..."
"Carazinho","4304705","-28.2958","-52.79330000000","27","28","26","25","25","24","24","23","23","21","20"
"Carlos Barbosa","4304804","-29.29690000000","-51.50289999999","...","...","...","...","...","...","...","...","...","...","..."
"Carlos Gomes","4304853","-27.71669999999","-51.91210000000","...","...","...","...","...","...","...","...","...","...","..."
"Casca","4304903","-28.56050000000","-51.98149999999","10","9","7","6","6","6","6","5","5","5","5"
"Caseiros","4304952","-28.25819999999","-51.68610000000","...","...","...","...","...","...","...","...","...","...","..."
"Catuípe","4305009","-28.25540000000","-54.01319999999","...","...","...","...","...","...","...","...","...","...","..."
"Caxias do Sul","4305108","-29.1629","-51.17920000000","136","145","156","161","172","178","191","208","214","213","207"
"Centenário","4305116","-27.76160000000","-51.99839999999","...","...","...","...","...","...","...","...","...","...","..."
"Cerrito","4305124","-31.84189999999","-52.80040000000","...","...","...","...","...","...","...","...","...","...","..."
"Cerro Branco","4305132","-29.657","-52.94060000000","...","...","...","...","...","...","...","...","...","...","..."
"Cerro Grande","4305157","-27.61060000000","-53.16720000000","...","...","...","...","...","...","...","...","...","...","..."
"Cerro Grande do Sul","4305173","-30.59049999999","-51.74179999999","...","...","...","...","...","...","...","...","...","...","..."
"Cerro Largo","4305207","-28.1462","-54.74280000000","7","7","7","10","9","9","9","10","11","11","11"
"Chapada","4305306","-28.05590000000","-53.06649999999","...","...","...","...","...","...","...","...","...","...","..."
"Charqueadas","4305355","-29.96250000000","-51.62890000000","...","1","1","1","1","2","2","2","2","2","2"
"Charrua","4305371","-27.94930000000","-52.01500000000","...","...","...","...","...","...","...","...","...","...","..."
"Chiapetta","4305405","-27.92299999999","-53.94189999999","...","...","...","...","...","...","...","...","...","...","..."
"Chuí","4305439","-33.68659999999","-53.45940000000","...","...","...","...","...","...","...","...","...","...","..."
"Chuvisca","4305447","-30.75039999999","-51.97370000000","...","...","...","...","...","...","...","...","...","...","..."
"Cidreira","4305454","-30.16039999999","-50.23380000000","3","3","1","1","1","1","1","1","1","...","..."
"Ciríaco","4305504","-28.34189999999","-51.87409999999","...","...","...","...","...","...","...","...","...","...","..."
"Colinas","4305587","-29.38149999999","-51.85260000000","...","...","...","...","...","...","...","...","...","...","..."
"Colorado","4305603","-28.5258","-52.99280000000","...","...","...","...","...","...","...","...","...","...","..."
"Condor","4305702","-28.2075","-53.49049999999","...","...","...","...","...","...","...","...","...","...","..."
"Constantina","4305801","-27.73199999999","-52.9938","...","...","...","...","...","...","...","...","...","...","..."
"Coqueiro Baixo","4305835","-29.1722","-52.0989","...","...","...","...","...","...","...","...","...","...","..."
"Coqueiros do Sul","4305850","-28.11939999999","-52.78419999999","...","...","...","...","...","...","...","...","...","...","..."
"Coronel Barros","4305871","-28.39219999999","-54.06860000000","...","...","...","...","...","...","...","...","...","...","..."
"Coronel Bicaco","4305900","-27.7197","-53.70219999999","...","...","...","...","...","...","...","...","...","...","..."
"Coronel Pilar","4305934","-29.2684","-51.68789999999","...","...","...","...","...","...","...","...","...","...","..."
"Cotiporã","4305959","-28.98910000000","-51.69709999999","...","...","...","...","...","...","...","...","...","...","..."
"Coxilha","4305975","-28.128","-52.30230000000","...","...","...","...","...","...","...","...","...","...","..."
"Crissiumal","4306007","-27.4999","-54.09940000000","...","...","...","...","...","...","...","...","...","...","..."
"Cristal","4306056","-31.0046","-52.04359999999","...","...","...","...","...","...","...","...","...","...","..."
"Cristal do Sul","4306072","-27.45200000000","-53.24219999999","...","...","...","...","...","...","...","...","...","...","..."
"Cruz Alta","4306106","-28.645","-53.60479999999","32","29","28","29","24","22","23","25","23","22","22"
"Cruzaltense","4306130","-27.66440000000","-52.6492","...","...","...","...","...","...","...","...","...","...","..."
"Cruzeiro do Sul","4306205","-29.51480000000","-51.99280000000","...","...","...","...","...","...","...","...","...","...","..."
"David Canabarro","4306304","-28.38489999999","-51.84819999999","...","...","...","...","...","...","...","...","...","...","..."
"Derrubadas","4306320","-27.26419999999","-53.8645","...","...","...","...","...","...","...","...","...","...","..."
"Dezesseis de Novembro","4306353","-28.21900000000","-55.06170000000","...","...","...","...","...","...","...","...","...","...","..."
"Dilermando de Aguiar","4306379","-29.70540000000","-54.21220000000","...","...","...","...","...","...","...","...","...","...","..."
"Dois Irmãos","4306403","-29.58360000000","-51.08979999999","...","...","...","...","...","...","...","...","...","...","..."
"Dois Irmãos das Missões","4306429","-27.66209999999","-53.5304","...","...","...","...","...","...","...","...","...","...","..."
"Dois Lajeados","4306452","-28.98300000000","-51.83959999999","...","...","...","...","...","...","...","...","...","...","..."
"Dom Feliciano","4306502","-30.70039999999","-52.10260000000","...","...","...","...","...","...","...","...","...","...","..."
"Dom Pedrito","4306601","-30.9756","-54.66940000000","7","8","9","8","9","9","9","9","7","5","5"
"Dom Pedro de Alcântara","4306551","-29.36390000000","-49.85300000000","...","...","...","...","...","...","...","...","...","...","..."
"Dona Francisca","4306700","-29.61949999999","-53.36169999999","...","...","...","...","...","...","...","...","...","...","..."
"Doutor Maurício Cardoso","4306734","-27.51030000000","-54.35779999999","...","...","...","...","...","...","...","...","...","...","..."
"Doutor Ricardo","4306759","-29.084","-51.99710000000","...","...","...","...","...","...","...","...","...","...","..."
"Eldorado do Sul","4306767","-30.08470000000","-51.61869999999","...","1","1","1","1","1","1","1","1","1","1"
"Encantado","4306809","-29.23509999999","-51.8703","2","2","2","3","3","3","3","3","3","2","2"
"Encruzilhada do Sul","4306908","-30.54299999999","-52.52040000000","...","...","...","...","...","...","...","...","...","...","..."
"Engenho Velho","4306924","-27.706","-52.91449999999","...","...","...","...","...","...","...","...","...","...","..."
"Entre Rios do Sul","4306957","-27.52980000000","-52.73469999999","...","...","...","...","...","...","...","...","...","...","..."
"Entre-ijuís","4306932","-28.36860000000","-54.26859999999","...","...","...","...","...","...","...","...","...","...","..."
"Erebango","4306973","-27.85439999999","-52.3005","...","...","...","...","...","...","...","...","...","...","..."
"Erechim","4307005","-27.63639999999","-52.2697","44","46","48","51","52","54","49","47","49","51","45"
"Ernestina","4307054","-28.49769999999","-52.58359999999","...","...","...","...","...","...","...","...","...","...","..."
"Erval Grande","4307203","-27.39260000000","-52.57399999999","...","...","...","...","...","...","...","...","...","...","..."
"Erval Seco","4307302","-27.5443","-53.50050000000","...","...","...","...","...","...","...","...","...","...","..."
"Esmeralda","4307401","-28.0518","-51.19330000000","...","...","...","...","...","...","...","...","...","...","..."
"Esperança do Sul","4307450","-27.36029999999","-53.98910000000","...","...","...","...","...","...","...","...","...","...","..."
"Espumoso","4307500","-28.7286","-52.8461","...","...","...","...","...","...","...","...","...","...","..."
"Estação","4307559","-27.91349999999","-52.26350000000","...","...","...","...","...","...","...","...","...","...","..."
"Estância Velha","4307609","-29.65350000000","-51.1843","...","...","...","...","...","...","...","...","...","...","..."
"Esteio","4307708","-29.852","-51.18410000000","...","...","...","...","...","...","...","...","...","...","..."
"Estrela","4307807","-29.5016","-51.96050000000","3","3","6","7","8","8","7","7","6","6","5"
"Estrela Velha","4307815","-29.17129999999","-53.16389999999","...","...","...","...","...","...","...","...","...","...","..."
"Eugênio de Castro","4307831","-28.53150000000","-54.15059999999","...","...","...","...","...","...","...","...","...","...","..."
"Fagundes Varela","4307864","-28.8794","-51.7014","...","...","...","...","...","...","...","...","...","...","..."
"Farroupilha","4307906","-29.2227","-51.34190000000","13","16","18","15","19","19","16","16","16","16","19"
"Faxinal do Soturno","4308003","-29.57880000000","-53.44839999999","...","...","...","...","...","...","...","...","...","...","..."
"Faxinalzinho","4308052","-27.4238","-52.67889999999","...","...","...","...","...","...","...","...","...","...","..."
"Fazenda Vilanova","4308078","-29.5885","-51.8217","...","...","...","...","...","...","...","...","...","...","..."
"Feliz","4308102","-29.4527","-51.30319999999","...","1","1","1","1","5","5","5","5","5","5"
"Flores da Cunha","4308201","-29.02619999999","-51.1875","...","...","...","...","...","...","...","...","...","...","..."
"Floriano Peixoto","4308250","-27.8614","-52.08379999999","...","...","...","...","...","...","...","...","...","...","..."
"Fontoura Xavier","4308300","-28.9816","-52.34449999999","...","...","...","...","...","...","...","...","...","...","..."
"Formigueiro","4308409","-30.00349999999","-53.49589999999","...","...","...","...","...","...","...","...","...","...","..."
"Forquetinha","4308433","-29.37920000000","-52.09170000000","...","...","...","...","...","...","...","...","...","...","..."
"Fortaleza dos Valos","4308458","-28.7986","-53.22489999999","...","...","...","...","...","...","...","...","...","...","..."
"Frederico Westphalen","4308508","-27.35859999999","-53.39580000000","30","32","37","38","37","35","36","34","33","35","38"
"Garibaldi","4308607","-29.259","-51.53520000000","6","6","6","6","6","7","6","6","5","5","5"
"Garruchos","4308656","-28.19440000000","-55.63830000000","...","...","...","...","...","...","...","...","...","...","..."
"Gaurama","4308706","-27.58559999999","-52.09150000000","...","...","...","...","...","...","...","...","...","...","..."
"General Câmara","4308805","-29.90319999999","-51.76120000000","...","...","...","...","...","...","...","...","...","...","..."
"Gentil","4308854","-28.4316","-52.03370000000","...","...","...","...","...","...","...","...","...","...","..."
"Getúlio Vargas","4308904","-27.89110000000","-52.22939999999","8","9","9","10","12","12","12","15","17","18","16"
"Giruá","4309001","-28.02969999999","-54.35170000000","...","...","...","...","...","...","...","...","...","...","..."
"Glorinha","4309050","-29.87979999999","-50.77340000000","...","...","...","...","...","...","...","...","...","...","..."
"Gramado","4309100","-29.3733","-50.87619999999","...","...","...","...","...","...","...","...","...","...","..."
"Gramado dos Loureiros","4309126","-27.44290000000","-52.91490000000","...","...","...","...","...","...","...","...","...","...","..."
"Gramado Xavier","4309159","-29.27060000000","-52.57950000000","...","...","...","...","...","...","...","...","...","...","..."
"Gravataí","4309209","-29.94129999999","-50.98689999999","21","21","21","21","27","27","26","21","21","20","21"
"Guabiju","4309258","-28.54210000000","-51.69480000000","...","...","...","...","...","...","...","...","...","...","..."
"Guaíba","4309308","-30.10859999999","-51.32330000000","10","10","10","10","8","9","9","9","9","9","9"
"Guaporé","4309407","-28.8399","-51.88949999999","3","3","3","3","3","2","2","2","2","2","2"
"Guarani das Missões","4309506","-28.14910000000","-54.56289999999","...","...","...","...","...","...","...","...","...","...","..."
"Harmonia","4309555","-29.5456","-51.41850000000","...","...","...","...","...","...","...","...","...","...","..."
"Herval","4307104","-32.02400000000","-53.39439999999","...","...","...","...","...","...","...","...","...","...","..."
"Herveiras","4309571","-29.45520000000","-52.65529999999","...","...","...","...","...","...","...","...","...","...","..."
"Horizontina","4309605","-27.6282","-54.30530000000","3","3","3","3","4","4","4","6","8","8","8"
"Hulha Negra","4309654","-31.40670000000","-53.86670000000","...","...","...","...","...","...","...","...","...","...","..."
"Humaitá","4309704","-27.56909999999","-53.96949999999","...","...","...","...","...","...","...","...","...","...","..."
"Ibarama","4309753","-29.42030000000","-53.1295","...","...","...","...","...","...","...","...","...","...","..."
"Ibiaçá","4309803","-28.0566","-51.85990000000","...","...","...","...","...","...","...","...","...","...","..."
"Ibiraiaras","4309902","-28.37409999999","-51.63770000000","...","...","...","...","...","...","...","...","...","...","..."
"Ibirapuitã","4309951","-28.62470000000","-52.51579999999","...","...","...","...","...","...","...","...","...","...","..."
"Ibirubá","4310009","-28.63019999999","-53.0961","3","3","3","3","3","5","5","4","4","4","4"
"Igrejinha","4310108","-29.56929999999","-50.79189999999","...","...","...","1","1","1","1","1","1","1","..."
"Ijuí","4310207","-28.38810000000","-53.92000000000","38","37","36","36","37","37","38","38","38","39","40"
"Ilópolis","4310306","-28.9282","-52.12579999999","...","...","...","...","...","...","...","...","...","...","..."
"Imbé","4310330","-29.97530000000","-50.12810000000","1","1","1","1","1","1","1","1","1","1","1"
"Imigrante","4310363","-29.3508","-51.77470000000","...","...","...","...","...","...","...","...","...","...","..."
"Independência","4310405","-27.8354","-54.18860000000","...","...","...","...","...","...","...","...","...","...","..."
"Inhacorá","4310413","-27.8752","-54.01500000000","...","...","...","...","...","...","...","...","...","...","..."
"Ipê","4310439","-28.8171","-51.28589999999","...","...","...","...","...","...","...","...","...","...","..."
"Ipiranga do Sul","4310462","-27.9404","-52.42710000000","...","...","...","...","...","...","...","...","...","...","..."
"Iraí","4310504","-27.1951","-53.25430000000","...","...","...","...","...","...","...","...","...","...","..."
"Itaara","4310538","-29.60129999999","-53.77250000000","...","...","...","...","...","...","...","...","...","...","..."
"Itacurubi","4310553","-28.7913","-55.24470000000","...","...","...","...","...","...","...","...","...","...","..."
"Itapuca","4310579","-28.77680000000","-52.1693","...","...","...","...","...","...","...","...","...","...","..."
"Itaqui","4310603","-29.131","-56.55149999999","6","7","7","7","7","6","6","6","6","6","6"
"Itati","4310652","-29.48832000000","-50.11357999999","...","...","...","...","...","...","...","...","...","...","..."
"Itatiba do Sul","4310702","-27.38459999999","-52.45380000000","...","...","...","...","...","...","...","...","...","...","..."
"Ivorá","4310751","-29.52319999999","-53.58420000000","...","...","...","...","...","...","...","...","...","...","..."
"Ivoti","4310801","-29.59949999999","-51.15330000000","2","2","2","4","4","6","6","7","7","7","7"
"Jaboticaba","4310850","-27.63469999999","-53.27620000000","...","...","...","...","...","...","...","...","...","...","..."
"Jacuizinho","4310876","-29.02199999999","-53.05369999999","...","...","...","...","...","...","...","...","...","...","..."
"Jacutinga","4310900","-27.72909999999","-52.53719999999","...","...","...","...","...","...","...","...","...","...","..."
"Jaguarão","4311007","-32.56040000000","-53.37700000000","4","4","5","5","5","5","5","5","5","7","7"
"Jaguari","4311106","-29.49360000000","-54.70300000000","...","...","...","...","1","1","1","1","1","2","2"
"Jaquirana","4311122","-28.8811","-50.36370000000","...","...","...","...","...","...","...","...","...","...","..."
"Jari","4311130","-29.29220000000","-54.22370000000","...","...","...","...","...","...","...","...","...","...","..."
"Jóia","4311155","-28.6435","-54.11410000000","...","...","...","...","...","...","...","...","...","...","..."
"Júlio de Castilhos","4311205","-29.22980000000","-53.67719999999","2","2","4","6","6","6","6","6","5","5","5"
"Lagoa Bonita do Sul","4311239","-29.48819999999","-53.01380000000","...","...","...","...","...","...","...","...","...","...","..."
"Lagoa dos Três Cantos","4311270","-28.56759999999","-52.86180000000","...","...","...","...","...","...","...","...","...","...","..."
"Lagoa Vermelha","4311304","-28.20929999999","-51.52479999999","8","8","7","7","5","5","5","5","5","5","5"
"Lagoão","4311254","-29.2348","-52.79970000000","...","...","...","...","...","...","...","...","...","...","..."
"Lajeado","4311403","-29.45909999999","-51.96439999999","42","44","44","43","45","48","49","49","48","48","48"
"Lajeado do Bugre","4311429","-27.69129999999","-53.18180000000","...","...","...","...","...","...","...","...","...","...","..."
"Lavras do Sul","4311502","-30.80709999999","-53.89309999999","...","...","...","...","...","...","...","...","...","...","..."
"Liberato Salzano","4311601","-27.60099999999","-53.07529999999","...","...","...","...","...","...","...","...","...","...","..."
"Lindolfo Collor","4311627","-29.58589999999","-51.21410000000","...","...","...","...","...","...","...","...","...","...","..."
"Linha Nova","4311643","-29.4679","-51.20029999999","...","...","...","...","...","...","...","...","...","...","..."
"Maçambará","4311718","-29.14450000000","-56.06739999999","...","...","...","...","...","...","...","...","...","...","..."
"Machadinho","4311700","-27.56670000000","-51.66680000000","...","...","...","...","...","...","...","...","...","...","..."
"Mampituba","4311734","-29.2136","-49.93110000000","...","...","...","...","...","...","...","...","...","...","..."
"Manoel Viana","4311759","-29.58589999999","-55.48409999999","...","...","...","...","...","...","...","...","...","...","..."
"Maquiné","4311775","-29.6798","-50.20790000000","...","...","...","...","...","...","...","...","...","...","..."
"Maratá","4311791","-29.5457","-51.55729999999","...","...","...","...","...","...","...","...","...","...","..."
"Marau","4311809","-28.4498","-52.19859999999","2","3","4","6","6","7","9","9","12","12","12"
"Marcelino Ramos","4311908","-27.46760000000","-51.90950000000","...","...","...","...","...","...","...","...","...","...","..."
"Mariana Pimentel","4311981","-30.35310000000","-51.58030000000","...","...","...","...","...","...","...","...","...","...","..."
"Mariano Moro","4312005","-27.3568","-52.14670000000","...","...","...","...","...","...","...","...","...","...","..."
"Marques de Souza","4312054","-29.33109999999","-52.09729999999","...","...","...","...","...","...","...","...","...","...","..."
"Mata","4312104","-29.56490000000","-54.46410000000","...","...","...","...","...","...","...","...","...","...","..."
"Mato Castelhano","4312138","-28.28000000000","-52.19319999999","...","...","...","...","...","...","...","...","...","...","..."
"Mato Leitão","4312153","-29.52850000000","-52.12780000000","...","...","...","...","...","...","...","...","...","...","..."
"Mato Queimado","4312179","-28.24750000000","-54.61919999999","...","...","...","...","...","...","...","...","...","...","..."
"Maximiliano de Almeida","4312203","-27.6325","-51.80210000000","...","...","...","...","...","...","...","...","...","...","..."
"Minas do Leão","4312252","-30.13459999999","-52.04229999999","...","...","...","...","...","...","...","...","...","...","..."
"Miraguaí","4312302","-27.497","-53.68910000000","...","...","...","...","...","...","...","...","...","...","..."
"Montauri","4312351","-28.6462","-52.07670000000","...","...","...","...","...","...","...","...","...","...","..."
"Monte Alegre dos Campos","4312377","-28.68049999999","-50.7834","...","...","...","...","...","...","...","...","...","...","..."
"Monte Belo do Sul","4312385","-29.16069999999","-51.63329999999","...","...","...","...","...","...","...","...","...","...","..."
"Montenegro","4312401","-29.68240000000","-51.4679","4","4","8","8","9","9","9","9","10","10","9"
"Mormaço","4312427","-28.6968","-52.6999","...","...","...","...","...","...","...","...","...","...","..."
